DELIVERY_DATE,HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,DSTFlag
1/6/2022,4,0.12,0,0,0,N
1/6/2022,5,0.12,0,0,0,N
1/6/2022,6,0.12,0,0,0,N
1/6/2022,7,0.12,0,0,0,N
1/6/2022,8,35.14,39.3,42.9,19.8,N
1/6/2022,9,1337.95,1280.8,1252,802,N
1/6/2022,10,3071.79,5138.7,5916.7,4849.5,N
1/6/2022,11,4278.72,6364.8,6673.9,5553,N
1/6/2022,12,5601.01,6546.9,6178.6,5213.3,N
1/6/2022,13,6435.89,6381.3,6129.4,5249.7,N
1/6/2022,14,6664.87,6315.9,6516,5680.4,N
1/6/2022,15,6979.08,6548.8,6878.5,5951.3,N
1/6/2022,16,6889.35,6678,6820.1,5870.3,N
1/6/2022,17,5132.45,4482.1,4577.9,3702.2,N
1/6/2022,18,1082.51,765.6,885.2,496.1,N
1/6/2022,19,0.59,0.2,1.7,1.4,N
1/6/2022,20,0.16,0,0,0,N
1/6/2022,21,0.16,0,0,0,N
1/6/2022,22,0.16,0,0,0,N
1/6/2022,23,0.16,0,0,0,N
1/7/2022,0,0.25,0,0,0,N
1/7/2022,1,0.16,0,0,0,N
1/7/2022,2,0.16,0,0,0,N
1/7/2022,3,0.16,0,0,0,N
1/7/2022,4,0.16,0,0,0,N
1/7/2022,5,0.16,0,0,0,N
1/7/2022,6,0.18,0,0,0,N
1/7/2022,7,0.16,0,0,0,N
1/7/2022,8,27.32,47.5,48,23,N
1/7/2022,9,1959.17,1250.7,1172,758.2,N
1/7/2022,10,5681.15,5003.9,5686.8,4658.2,N
1/7/2022,11,6247.14,6251.3,6783.6,5762.5,N
1/7/2022,12,6058.61,6264.3,6185.2,5332,N
1/7/2022,13,5934.19,6124.3,5911.5,5219.3,N
1/7/2022,14,5849.15,5927.1,5914.2,5133.7,N
1/7/2022,15,5899.61,6056.3,6113,5287,N
1/7/2022,16,5810.75,5900.1,5838.9,4955.5,N
1/7/2022,17,4516.88,3971.5,4031.9,3156.6,N
1/7/2022,18,1031.67,688.7,844.2,467.2,N
1/7/2022,19,0.82,0.3,2.6,1.9,N
1/7/2022,20,0.25,0,0,0,N
1/7/2022,21,0.25,0,0,0,N
1/7/2022,22,0.25,0,0,0,N
1/7/2022,23,0.25,0,0,0,N
1/8/2022,0,0.11,0,0,0,N
1/8/2022,1,0.25,0,0,0,N
1/8/2022,2,0.25,0,0,0,N
1/8/2022,3,0.25,0,0,0,N
1/8/2022,4,0.25,0,0,0,N
1/8/2022,5,0.25,0,0,0,N
1/8/2022,6,0.25,0,0,0,N
1/8/2022,7,0.25,0,0,0,N
1/8/2022,8,5.45,10.1,9.8,1.4,N
1/8/2022,9,1255.13,711,777.1,472.1,N
1/8/2022,10,3120.65,3617.7,4335,3322.9,N
1/8/2022,11,4301.33,4959.8,4955.6,3942.6,N
1/8/2022,12,4769.89,5210.3,4988.9,4122.8,N
1/8/2022,13,4815.1,5283.7,5256.8,4544.4,N
1/8/2022,14,4599.56,5343.3,5241.6,4542.7,N
1/8/2022,15,4992.77,5563.2,5172.8,4393.6,N
1/8/2022,16,5260.67,5322.5,4928,3951.5,N
1/8/2022,17,4325.2,3627.5,3701.7,2808.6,N
1/8/2022,18,1184.92,648.7,788.3,421.5,N
1/8/2022,19,196.5,0.4,3.3,2.9,N
1/8/2022,20,56.29,0,0,0,N
1/8/2022,21,0.11,0,0,0,N
1/8/2022,22,0.11,0,0,0,N
1/8/2022,23,0.11,0,0,0,N
1/9/2022,0,0.16,0,0,0,N
1/9/2022,1,0.11,0,0,0,N
1/9/2022,2,0.11,0,0,0,N
1/9/2022,3,0.11,0,0,0,N
1/9/2022,4,0.11,0,0,0,N
1/9/2022,5,0.11,0,0,0,N
1/9/2022,6,0.11,0,0,0,N
1/9/2022,7,0.11,0,0,0,N
1/9/2022,8,12.68,23,23,7.7,N
1/9/2022,9,470.44,789.2,915,546.9,N
1/9/2022,10,1097.83,3172,3187.5,1952.2,N
1/9/2022,11,1496.65,4313.2,3488.4,2183.4,N
1/9/2022,12,2271.48,4393.2,3433.8,2341.8,N
1/9/2022,13,3342.46,4304.2,3398.1,2440.1,N
1/9/2022,14,3989.9,3996.4,3426.1,2392.3,N
1/9/2022,15,4043.95,2966.5,3762.7,2573.7,N
1/9/2022,16,3414.37,2249.2,3305,2036.6,N
1/9/2022,17,2180.64,1657,2363.7,1342.8,N
1/9/2022,18,392.2,429,530.7,179.3,N
1/9/2022,19,0.18,0.8,1.4,0.8,N
1/9/2022,20,0.16,0,0,0,N
1/9/2022,21,0.16,0,0,0,N
