OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
1/4/2022,6:00,18184.86,12344.05,5987.38,11709.05,48225.34,N
1/4/2022,7:00,19674.62,13430.36,6154.99,12477.48,51737.45,N
1/4/2022,8:00,20582.49,13922.45,6249.63,12904.18,53658.75,N
1/4/2022,9:00,20204.53,13591.46,6132.76,12792.06,52720.81,N
1/4/2022,10:00,19198.96,12729.54,5885.55,12401.85,50215.89,N
1/4/2022,11:00,18223.24,11933.52,5736.74,12098.47,47991.97,N
1/4/2022,12:00,17300.01,11171.92,5591.37,11785.45,45848.75,N
1/4/2022,13:00,16475.41,10657.26,5508.84,11520.3,44161.81,N
1/4/2022,14:00,15670.12,10337.9,5446.5,11360.62,42815.14,N
1/4/2022,15:00,15004.95,10126.61,5395.12,11211.27,41737.96,N
1/4/2022,16:00,14675.45,10067.76,5364.27,11127.13,41234.61,N
1/4/2022,17:00,14661.66,10187.5,5395.83,11106.2,41351.2,N
1/4/2022,18:00,15175.08,10535.44,5438.91,11298.63,42448.06,N
1/4/2022,19:00,16033.34,11221.17,5667.16,11616.76,44538.42,N
1/4/2022,20:00,15981.85,11262.23,5690.13,11487.73,44421.95,N
1/4/2022,21:00,15847.43,11123.42,5721.54,11290.12,43982.51,N
1/4/2022,22:00,15303.81,10802.69,5668.06,10970.77,42745.34,N
1/4/2022,23:00,14479.73,10294.12,5573.05,10475.08,40821.99,N
1/5/2022,0:00:00,13997.02,9171.3,5554.58,9838.39,38561.29,N
1/5/2022,1:00,13173.83,9440.59,5438.35,9693.61,37746.38,N
1/5/2022,2:00,13016.13,9301.35,5417.43,9514.31,37249.23,N
1/5/2022,3:00,13104.34,9302.94,5433.35,9426.07,37266.7,N
1/5/2022,4:00,13405.43,9397.86,5435.93,9518.1,37757.32,N
1/5/2022,5:00,14095.77,9711.13,5511.88,9660.6,38979.36,N
1/5/2022,6:00,15219.92,10342.28,5659.62,10184.73,41406.55,N
1/5/2022,7:00,16788.76,11367.5,5907.1,10915.98,44979.34,N
1/5/2022,8:00,17668.41,11917.43,6043.29,11259.68,46888.81,N
1/5/2022,9:00,17434.07,11411.86,5982.83,11246.26,46075.02,N
1/5/2022,10:00,16861.91,10773.03,5817.5,11202.42,44654.87,N
1/5/2022,11:00,16239.2,10340.86,5658.1,11199.22,43437.38,N
1/5/2022,12:00,15445.4,9919.46,5518.03,11197.97,42080.85,N
1/5/2022,13:00,14774.11,9753.63,5388.15,11252.06,41167.95,N
1/5/2022,14:00,14200.36,9782.87,5339.76,11355.58,40678.57,N
1/5/2022,15:00,13872.47,9949.91,5322.42,11425.23,40570.03,N
1/5/2022,16:00,13629.16,10162.41,5343.46,11433.29,40568.32,N
1/5/2022,17:00,13731.03,10323.37,5353.23,11413.55,40821.18,N
1/5/2022,18:00,14460.99,10572.73,5462.34,11468.38,41964.44,N
1/5/2022,19:00,15449.3,11002.21,5667.72,11626.87,43746.11,N
1/5/2022,20:00,15520.44,10925.96,5686.73,11438.03,43571.16,N
1/5/2022,21:00,15502.72,10693.57,5695.11,11224.44,43115.84,N
1/5/2022,22:00,15205.5,10329.8,5666.96,10879.31,42081.58,N
1/5/2022,23:00,14594.26,9744.77,5599.68,10402.73,40341.45,N
1/6/2022,0:00:00,19523.07,11722.74,6195.99,10110.26,47552.06,N
1/6/2022,1:00,13789.81,8726.41,5527.89,9445.32,37489.43,N
1/6/2022,2:00,13811.6,8524.79,5543.4,9218.64,37098.42,N
1/6/2022,3:00,14060.18,8531.29,5614.06,9082.87,37288.4,N
1/6/2022,4:00,14433.93,8642.66,5655.51,9101.39,37833.49,N
1/6/2022,5:00,15224.64,8999.48,5675.84,9176.44,39076.41,N
1/6/2022,6:00,16704.91,9769.2,5832.72,9613.93,41920.76,N
1/6/2022,7:00,18673.44,10905.07,6115.28,10121.77,45815.57,N
1/6/2022,8:00,19923.19,11539.27,6327.53,10464.22,48254.22,N
1/6/2022,9:00,20064.21,11429.45,6363.29,10604.97,48461.92,N
1/6/2022,10:00,19933.3,11120,6285.6,10838.24,48177.15,N
1/6/2022,11:00,19728.98,10784.22,6207.87,11026.09,47747.16,N
1/6/2022,12:00,19266.41,10629.96,6105.64,11180.08,47182.09,N
1/6/2022,13:00,18753.15,10504.09,6002.79,11209.43,46469.46,N
1/6/2022,14:00,18053.48,10498.63,5923.78,11313.52,45789.41,N
1/6/2022,15:00,17562.08,10579.52,5824.9,11347.85,45314.36,N
1/6/2022,16:00,17427.99,10642.61,5781.67,11256.5,45108.76,N
1/6/2022,17:00,18044.82,10832.82,5835.67,11113.09,45826.4,N
1/6/2022,18:00,19465.17,11345.4,6037.86,11051.8,47900.22,N
1/6/2022,19:00,20912.05,12173.59,6374.5,11214.88,50675.02,N
1/6/2022,20:00,21118.84,12445.01,6427.63,11108.08,51099.56,N
1/6/2022,21:00,21148.62,12554.1,6414.99,10962.97,51080.68,N
1/6/2022,22:00,20851.7,12468.84,6355.96,10735.92,50412.42,N
1/6/2022,23:00,20057.72,12119.45,6263.59,10396.12,48836.88,N
1/7/2022,0:00:00,15632.09,11948.3,5814.71,10562.04,43957.14,N
1/7/2022,1:00,19206.09,11448.24,6157.48,9890.08,46701.89,N
1/7/2022,2:00,19184.29,11369.57,6155,9799.46,46508.32,N
1/7/2022,3:00,19273.36,11437.76,6147.65,9812.39,46671.15,N
1/7/2022,4:00,19560.75,11681.59,6177.02,9995.32,47414.67,N
1/7/2022,5:00,20165.93,12045.78,6242.9,10240.16,48694.77,N
1/7/2022,6:00,21301,12767.02,6336.04,10901.27,51305.34,N
1/7/2022,7:00,22916.31,13841.93,6477.61,11646.45,54882.3,N
1/7/2022,8:00,23781.64,14439.88,6536.53,12058.58,56816.64,N
1/7/2022,9:00,23393.86,14504.31,6459.7,12334.72,56692.6,N
1/7/2022,10:00,22351.37,14451.38,6309.63,12539.78,55652.16,N
1/7/2022,11:00,21100.61,14271.37,6160.01,12655.31,54187.3,N
1/7/2022,12:00,19768.38,13985.13,5979.51,12624.89,52357.92,N
1/7/2022,13:00,18603.82,13598.9,5785.76,12509.49,50497.98,N
1/7/2022,14:00,17780.25,13357.87,5676.36,12387.29,49201.77,N
1/7/2022,15:00,17352.63,13150.1,5633.76,12179.81,48316.29,N
1/7/2022,16:00,17590.1,13093.78,5650.79,12154.58,48489.25,N
